Datum,Type,AantalCumulatief
2020-05-05,Geen onderliggende aandoening,57
2020-05-05,Onderliggende aandoening en/of zwangerschap,411
2020-05-05,Niet vermeld,121
2020-05-05,Totaal gemeld,589
2020-05-06,Niet vermeld,121
2020-05-06,Onderliggende aandoening en/of zwangerschap,416
2020-05-06,Geen onderliggende aandoening,57
2020-05-06,Totaal gemeld,594
2020-05-07,Totaal gemeld,600
2020-05-07,Geen onderliggende aandoening,58
2020-05-07,Niet vermeld,120
2020-05-07,Onderliggende aandoening en/of zwangerschap,422
2020-05-08,Geen onderliggende aandoening,60
2020-05-08,Niet vermeld,122
2020-05-08,Onderliggende aandoening en/of zwangerschap,424
2020-05-08,Totaal gemeld,606
2020-05-09,Onderliggende aandoening en/of zwangerschap,430
2020-05-09,Geen onderliggende aandoening,62
2020-05-09,Totaal gemeld,612
2020-05-09,Niet vermeld,120
2020-05-10,Geen onderliggende aandoening,62
2020-05-10,Niet vermeld,120
2020-05-10,Totaal gemeld,614
2020-05-10,Onderliggende aandoening en/of zwangerschap,432
2020-05-11,Totaal gemeld,615
2020-05-11,Onderliggende aandoening en/of zwangerschap,432
2020-05-11,Geen onderliggende aandoening,62
2020-05-11,Niet vermeld,121
2020-05-12,Niet vermeld,123
2020-05-12,Geen onderliggende aandoening,62
2020-05-12,Onderliggende aandoening en/of zwangerschap,433
2020-05-12,Totaal gemeld,618
2020-05-13,Totaal gemeld,623
2020-05-13,Geen onderliggende aandoening,63
2020-05-13,Niet vermeld,125
2020-05-13,Onderliggende aandoening en/of zwangerschap,435
2020-05-14,Geen onderliggende aandoening,64
2020-05-14,Niet vermeld,125
2020-05-14,Onderliggende aandoening en/of zwangerschap,437
2020-05-14,Totaal gemeld,626
2020-05-15,Totaal gemeld,637
2020-05-15,Onderliggende aandoening en/of zwangerschap,446
2020-05-15,Niet vermeld,127
2020-05-15,Geen onderliggende aandoening,64
2020-05-16,Geen onderliggende aandoening,65
2020-05-16,Niet vermeld,128
2020-05-16,Totaal gemeld,640
2020-05-16,Onderliggende aandoening en/of zwangerschap,447
2020-05-17,Geen onderliggende aandoening,66
2020-05-17,Onderliggende aandoening en/of zwangerschap,448
2020-05-17,Totaal gemeld,643
2020-05-17,Niet vermeld,129
2020-05-18,Niet vermeld,128
2020-05-18,Totaal gemeld,644
2020-05-18,Onderliggende aandoening en/of zwangerschap,450
2020-05-18,Geen onderliggende aandoening,66
2020-05-19,Niet vermeld,128
2020-05-19,Onderliggende aandoening en/of zwangerschap,451
2020-05-19,Totaal gemeld,646
2020-05-19,Geen onderliggende aandoening,67
2020-05-20,Totaal gemeld,647
2020-05-20,Niet vermeld,128
2020-05-20,Geen onderliggende aandoening,67
2020-05-20,Onderliggende aandoening en/of zwangerschap,452
2020-05-21,Totaal gemeld,652
2020-05-21,Onderliggende aandoening en/of zwangerschap,456
2020-05-21,Geen onderliggende aandoening,67
2020-05-21,Niet vermeld,129
2020-05-22,Totaal gemeld,653
2020-05-22,Niet vermeld,129
2020-05-22,Geen onderliggende aandoening,67
2020-05-22,Onderliggende aandoening en/of zwangerschap,457
2020-05-23,Niet vermeld,130
2020-05-23,Geen onderliggende aandoening,68
2020-05-23,Totaal gemeld,656
2020-05-23,Onderliggende aandoening en/of zwangerschap,458
2020-05-24,Geen onderliggende aandoening,68
2020-05-24,Onderliggende aandoening en/of zwangerschap,461
2020-05-24,Niet vermeld,130
2020-05-24,Totaal gemeld,659
2020-05-25,Niet vermeld,131
2020-05-25,Geen onderliggende aandoening,68
2020-05-25,Totaal gemeld,660
2020-05-25,Onderliggende aandoening en/of zwangerschap,461
2020-05-26,Onderliggende aandoening en/of zwangerschap,462
2020-05-26,Totaal gemeld,662
2020-05-26,Geen onderliggende aandoening,69
2020-05-26,Niet vermeld,131
2020-05-27,Totaal gemeld,663
2020-05-27,Geen onderliggende aandoening,69
2020-05-27,Niet vermeld,130
2020-05-27,Onderliggende aandoening en/of zwangerschap,464
2020-05-28,Niet vermeld,132
2020-05-28,Onderliggende aandoening en/of zwangerschap,466
2020-05-28,Geen onderliggende aandoening,70
2020-05-28,Totaal gemeld,668
2020-05-29,Niet vermeld,132
2020-05-29,Geen onderliggende aandoening,70
2020-05-29,Totaal gemeld,669
2020-05-29,Onderliggende aandoening en/of zwangerschap,467
2020-05-30,Geen onderliggende aandoening,70
2020-05-30,Niet vermeld,132
2020-05-30,Onderliggende aandoening en/of zwangerschap,469
2020-05-30,Totaal gemeld,671
2020-05-31,Niet vermeld,133
2020-05-31,Geen onderliggende aandoening,70
2020-05-31,Totaal gemeld,672
2020-05-31,Onderliggende aandoening en/of zwangerschap,469
2020-06-01,Geen onderliggende aandoening,70
2020-06-01,Totaal gemeld,672
2020-06-01,Niet vermeld,133
2020-06-01,Onderliggende aandoening en/of zwangerschap,469
2020-06-02,Geen onderliggende aandoening,70
2020-06-02,Onderliggende aandoening en/of zwangerschap,470
2020-06-02,Totaal gemeld,674
2020-06-02,Niet vermeld,134
2020-06-03,Geen onderliggende aandoening,70
2020-06-03,Totaal gemeld,675
2020-06-03,Onderliggende aandoening en/of zwangerschap,470
2020-06-03,Niet vermeld,135
2020-06-04,Onderliggende aandoening en/of zwangerschap,473
2020-06-04,Geen onderliggende aandoening,70
2020-06-04,Totaal gemeld,678
2020-06-04,Niet vermeld,135
2020-06-05,Geen onderliggende aandoening,70
2020-06-05,Totaal gemeld,678
2020-06-05,Onderliggende aandoening en/of zwangerschap,473
2020-06-05,Niet vermeld,135
