Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
532;Stede Broec;1;21706;4.6
851;Steenbergen;2;25054;8
1708;Steenwijkerland;1;43940;2.3
971;Stein;3;24961;12
1904;Stichtse Vecht;8;64336;12.4
1900;Súdwest-Fryslân;1;89710;1.1
715;Terneuzen;2;54589;3.7
93;Terschelling;0;4890;0
448;Texel;0;13547;0
1525;Teylingen;2;37061;5.4
716;Tholen;1;25780;3.9
281;Tiel;4;41978;9.5
855;Tilburg;88;217259;40.5
183;Tubbergen;1;21276;4.7
1700;Twenterand;0;33792;0
1730;Tynaarlo;1;33698;3
737;Tytsjerksteradiel;1;31780;3.1
856;Uden;49;41782;117.3
450;Uitgeest;0;13528;0
451;Uithoorn;0;29424;0
184;Urk;0;20776;0
344;Utrecht;60;352866;17
1581;Utrechtse Heuvelrug;5;49515;10.1
981;Vaals;0;10092;0
994;Valkenburg aan de Geul;2;16470;12.1
858;Valkenswaard;0;30910;0
47;Veendam;0;27491;0
345;Veenendaal;1;65589;1.5
717;Veere;1;21835;4.6
861;Veldhoven;1;45337;2.2
453;Velsen;4;68348;5.9
983;Venlo;8;101603;7.9
984;Venray;0;43326;0
1961;Vijfheerenlanden;4;55712;7.2
622;Vlaardingen;2;72404;2.8
96;Vlieland;0;1138;0
718;Vlissingen;4;44371;9
986;Voerendaal;1;12452;8
626;Voorschoten;0;25479;0
285;Voorst;1;24417;4.1
865;Vught;6;26396;22.7
1949;Waadhoeke;0;46039;0
866;Waalre;1;17247;5.8
867;Waalwijk;11;48240;22.8
627;Waddinxveen;1;28316;3.5
289;Wageningen;1;38774;2.6
629;Wassenaar;3;26211;11.4
852;Waterland;3;17315;17.3
988;Weert;0;49842;0
457;Weesp;0;19334;0
1960;West Betuwe;6;50697;11.8
668;West Maas en Waal;3;19076;15.7
1969;Westerkwartier;1;63031;1.6
1701;Westerveld;0;19348;0
293;Westervoort;0;14944;0
1950;Westerwolde;0;25199;0
1783;Westland;3;108603;2.8
98;Weststellingwerf;0;25840;0
614;Westvoorne;3;14626;20.5
189;Wierden;0;24351;0
296;Wijchen;6;40951;14.7
1696;Wijdemeren;0;24013;0
352;Wijk bij Duurstede;4;23762;16.8
294;Winterswijk;0;28903;0
873;Woensdrecht;0;21866;0
632;Woerden;3;52197;5.7
880;Wormerland;0;16329;0
351;Woudenberg;1;13166;7.6
479;Zaanstad;2;155885;1.3
297;Zaltbommel;3;28451;10.5
473;Zandvoort;1;17011;5.9
50;Zeewolde;2;22309;9
355;Zeist;12;63934;18.8
299;Zevenaar;0;43488;0
637;Zoetermeer;0;124944;0
638;Zoeterwoude;0;8450;0
1892;Zuidplas;0;42762;0
879;Zundert;4;21612;18.5
301;Zutphen;1;47609;2.1
1896;Zwartewaterland;4;22503;17.8
642;Zwijndrecht;4;44639;9
193;Zwolle;8;127497;6.3
